,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
339,5115463180914712448,54.572021668602574,-11.49906945105181,199.4655892035713,-47.89655258845268,61.88605144828595,2813.1602,1458.2007377243792,0.02084605,-2696.5451254401264,0.021518556,-84.49877,0.62724745,16.157516,16.15165,16.162529,22,-1326.6937604325085,2573.7990940478307
11,3195919528989223040,63.80795300602079,-7.6680778150199815,200.7636590463469,-38.06384376355206,199.6080124181338,1651.9701,-2240.0849838923477,0.13507964,-3421.8086201704023,0.09439368,-42.621136,0.4151377,5.0092463,5.0060306,5.012345,23,2275.835325978753,3342.752025336492
5,4810594479418041856,77.9599373502188,-45.0438126993602,250.5655103797037,-35.975075941197616,254.19859326384577,15092.47,6491.223339061598,0.018412089,-5708.614150045243,0.020839408,244.98715,0.18186499,3.9338374,3.9336271,3.9340477,24,-6352.501601435316,5718.195634044528
148,4698037645878876800,31.86632145778327,-66.56822612915273,291.5811583775918,-48.850506475517015,81.27838265830503,5352.102,1739.065892738913,0.01568228,368.0285835700924,0.01700625,-16.296328,0.6526628,12.300823,12.298741,12.303039,25,-1629.8042050024903,-401.24254647328394
1925,6382933589314905472,336.1727031451987,-72.25841069853294,316.8212723129335,-40.67573886381457,35.12814060411004,548.9013,1303.8718144788922,0.056240357,-674.1862721407348,0.059163623,32.513485,0.15926391,28.461977,28.419514,28.510555,25,-1194.6101267424697,640.9723092375433
4,6412595290592307840,330.8724078795965,-56.79725466122902,336.1656204933891,-48.05544038960672,274.8431415216296,2874.4775,3966.6605387484133,0.08557088,-2536.1919868044724,0.09221277,-40.50448,0.23018494,3.6384804,3.6373396,3.640133,26,-3877.0715396464593,2390.4046522039866
51,6847167606385195648,303.82866493156223,-27.033780809464673,15.625553770306304,-29.402961402642774,113.48717988476642,2200.4329,1242.7627067001158,0.046006758,-181.1749780311303,0.03300268,-54.214806,0.12437784,8.808856,8.804494,8.812829,27,-1193.0691217719757,57.781634714009385
184,4248817876711932416,300.96027108661707,5.992067907733729,46.8238848846968,-13.143973362355363,75.25482099805123,3111.5227,-495.4775096333631,0.02516237,-799.6220828335094,0.016294451,30.50041,0.7079499,13.283178,13.278351,13.287005,28,574.8596538334532,739.3919684763838
2760,6916526964529218816,313.48469396979317,-2.7675614735620613,45.336211675658376,-28.350619715133334,30.95107871819821,1302.8031,-610.8806488212648,0.02393101,-369.0290932732456,0.018892316,14.706211,0.6941606,32.27409,32.250294,32.29645,28,690.2627930213549,308.7989789161201
2873,1750644685784383744,313.8478930996543,9.84116985421224,57.347476302140514,-21.934428840473107,30.595670201477944,1637.1461,791.6292802063565,0.018071987,-360.96530277506446,0.01394488,-137.97264,0.46694767,32.670982,32.65157,32.69147,28,-712.2471360062664,300.73518841793896
3,385334230892516480,4.613226257557736,44.02478674398518,116.69059217677923,-18.446865404076224,280.706821579123,13838.454,2891.5180773367792,0.015489398,411.8320203661465,0.01302328,11.51107,0.13593048,3.5620034,3.5617723,3.5622625,29,-2770.558134513503,-469.748773012979
97,326173044957518080,34.26965162484768,34.22313618253068,142.44888839396998,-25.382146319709687,91.6503559470644,214.61072,1151.9350274578856,0.41110843,-246.60542439770165,0.2999191,-6.3204846,1.7114161,10.914851,10.861953,10.959937,30,-1023.1085765672797,114.71381034100983
258,139860666488305664,43.0351018418911,34.384950446682915,149.54417648063452,-22.174389037118996,67.6743342414237,4598.156,995.8045303279958,0.017659366,-990.4426955017344,0.015938496,-50.032887,0.11975913,14.769218,14.76599,14.771995,30,-866.97807943739,858.5510814450427
