,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
3052,1787990525934491776,317.99539741547386,17.72375012742028,66.70301607696929,-20.430956466830775,29.877493813709016,1460.2174,-122.13342101045173,0.019036692,-899.40401696554,0.014740178,-44.147797,0.1938103,33.433678,33.40728,33.457294,28,201.5155652105418,839.1739026084144
4109,1757705371501493504,314.31934920749643,12.003529139258639,59.53487647335254,-21.069367947505306,27.03286353420402,1482.2863,346.8223813250016,0.017724702,-726.5081700571351,0.013137134,19.298903,0.44477272,36.956814,36.927387,36.979942,28,-267.4402371249115,666.2780557000095
624,1892539307049423872,333.6298281538961,27.85755819173504,85.41157938796229,-23.35563420719536,50.819395732748646,1888.1799,-211.58183267371408,0.03268632,532.3989367585818,0.029202241,19.7968,0.290666,19.664045,19.655014,19.675554,29,332.5417754969906,-590.3156894054143
3594,2879625218049541632,357.2843709574549,37.038423742591725,109.34345496478942,-24.183961980774328,28.299124793643568,1881.3135,413.42533420738414,0.0150641585,-654.5257033687183,0.011261423,20.204874,0.70022947,35.332214,35.30766,35.34795,29,-292.4653913841076,596.6089507218858
4550,1912109961188455296,351.29553948868886,34.284175874534846,103.30815510392047,-25.27937428809276,26.182291211645165,2120.7344,-296.0789307576923,0.011978852,-695.4468197778971,0.010980116,-41.237152,0.1618515,38.15155,38.132736,38.1709,29,417.03887358096887,637.5300671310646
258,139860666488305664,43.0351018418911,34.384950446682915,149.54417648063452,-22.174389037118996,67.6743342414237,4598.156,995.8045303279958,0.017659366,-990.4426955017344,0.015938496,-50.032887,0.11975913,14.769218,14.76599,14.771995,30,-866.97807943739,858.5510814450427
1138,231113736385994624,56.76235050997171,41.42172296160873,154.8384024459884,-10.321506367015958,41.90345569916625,1768.6887,597.9164120882347,0.026226396,-1243.8376070504432,0.020207783,50.873775,0.13971403,23.844402,23.830477,23.859394,30,-469.0899611976288,1111.9459929937514
1178,231113740685855616,56.76446366591412,41.42279214714805,154.83897499834606,-10.319679706244084,41.4987896504494,975.685,588.4802619728698,0.046581134,-1261.5763843541208,0.036949996,49.995197,1.9131525,24.07833,24.053207,24.105303,30,-459.6538110822639,1129.684770297429
1645,222749343414443648,52.227698158214295,37.37771073269072,154.49796426006864,-15.660489985370974,36.90719800007177,1631.0986,1122.1763715002862,0.026695637,-1065.6656513527055,0.02204046,-173.87253,0.48008668,27.069921,27.04988,27.083841,30,-993.3499206096803,933.7740372960136
2324,235423517026072960,49.11592382333352,38.09413919149562,151.9667141621995,-16.468064246991723,32.9025643300542,1701.0854,741.9429482735613,0.020757383,-1064.3374646238942,0.018957466,-172.23793,0.3636719,30.36013,30.3443,30.378439,30,-613.1164973829555,932.4458505672023
67,3409711211681795584,70.73548173808452,18.953202926391814,180.02134291127595,-17.4272545962121,105.42748417135273,5013.3423,656.6469583029074,0.027073016,-1116.5935413672632,0.016278848,25.681438,0.28841102,9.48095,9.479483,9.482779,31,-550.3484842696064,1026.6310605062529
