,r_med,l_med,b_med,pmra,pmdec,std_pmra,std_pmdec
29,187.37808839215768,198.9473684210526,-75.78947368421052,17.782848,-11.993769,43.40875,39.97495
30,187.37808839215768,217.89473684210526,-75.78947368421052,19.353523,-9.24141,42.20779,43.702343
31,187.37808839215768,236.84210526315786,-75.78947368421052,26.49117,-8.928932,68.3462,56.306984
32,187.37808839215768,255.78947368421052,-75.78947368421052,20.303276,-5.165937,37.513897,35.405895
33,187.37808839215768,274.7368421052631,-75.78947368421052,23.901068,-11.480964,52.685417,44.55278
34,187.37808839215768,293.6842105263158,-75.78947368421052,22.180204,-6.930364,46.75694,35.03317
35,187.37808839215768,312.6315789473684,-75.78947368421052,20.04338,-6.993792,36.05516,31.087198
36,187.37808839215768,331.57894736842104,-75.78947368421052,26.274677,-7.4659047,45.547184,37.08422
37,187.37808839215768,350.52631578947364,-75.78947368421052,19.298092,-22.048029,68.732834,210.41383
38,187.37808839215765,9.473684210526315,-66.31578947368422,21.267775,-14.068924,37.767986,38.127533
39,187.37808839215765,28.421052631578945,-66.31578947368422,23.396252,-15.390554,46.759636,41.12462
40,187.37808839215765,47.368421052631575,-66.31578947368422,21.83425,-13.167114,40.24174,37.65161
41,187.37808839215765,66.3157894736842,-66.31578947368422,20.347961,-15.316721,39.76015,38.091347
42,187.37808839215765,85.26315789473684,-66.31578947368422,19.051735,-13.346772,45.209663,36.37453
43,187.37808839215765,104.21052631578947,-66.31578947368422,15.713556,-19.000816,54.93864,42.907787
44,187.37808839215765,123.1578947368421,-66.31578947368422,21.089075,-13.787438,43.84527,41.580173
45,187.37808839215765,142.10526315789474,-66.31578947368422,18.57419,-16.854662,47.043224,38.753456
46,187.37808839215765,161.05263157894734,-66.31578947368422,16.574839,-16.2975,37.619953,38.704773
47,187.37808839215765,180.0,-66.31578947368422,20.348372,-11.996917,37.659332,34.616314
48,187.37808839215765,198.9473684210526,-66.31578947368422,17.951788,-9.082629,33.468704,39.786682
49,187.37808839215765,217.89473684210526,-66.31578947368422,20.954113,-5.8320155,39.994434,41.17673
50,187.37808839215765,236.84210526315786,-66.31578947368422,18.366678,-4.072268,40.78568,36.918427
51,187.37808839215765,255.78947368421052,-66.31578947368422,20.003923,-4.066726,43.95558,49.404602
52,187.37808839215765,274.7368421052631,-66.31578947368422,22.344397,-3.3401353,46.637882,41.33635
53,187.37808839215765,293.6842105263158,-66.31578947368422,22.954336,-2.8145468,55.154312,45.155575
54,187.37808839215765,312.6315789473684,-66.31578947368422,26.300486,-5.656688,45.487362,35.82053
55,187.37808839215765,331.57894736842104,-66.31578947368422,27.64188,-9.741264,42.523476,34.62588
56,187.37808839215765,350.52631578947364,-66.31578947368422,21.945986,-11.679757,50.198215,36.40409
57,187.37808839215768,9.473684210526315,-56.8421052631579,25.04899,-15.220369,45.987717,34.82813
58,187.37808839215768,28.421052631578945,-56.8421052631579,21.976942,-15.236521,39.018368,46.12995
59,187.37808839215768,47.368421052631575,-56.8421052631579,18.628693,-14.3700905,35.006477,31.67696
60,187.37808839215768,66.3157894736842,-56.8421052631579,22.552223,-16.719595,51.006897,40.92575
61,187.37808839215768,85.26315789473684,-56.8421052631579,23.294268,-15.250882,115.89663,42.90732
62,187.37808839215768,104.21052631578947,-56.8421052631579,20.761036,-15.186332,50.04617,35.166275
63,187.37808839215768,123.1578947368421,-56.8421052631579,16.222015,-16.158644,47.789486,33.51315
64,187.37808839215768,142.10526315789474,-56.8421052631579,16.903143,-14.011184,50.422256,32.581177
65,187.37808839215768,161.05263157894734,-56.8421052631579,16.836603,-14.021748,46.470074,37.09914
66,187.37808839215768,180.0,-56.8421052631579,16.593954,-12.493955,36.90988,40.170494
67,187.37808839215768,198.9473684210526,-56.8421052631579,18.593594,-9.10974,62.034206,40.537285
68,187.37808839215768,217.89473684210526,-56.8421052631579,17.227695,-3.6471257,48.997246,55.189636
69,187.37808839215768,236.84210526315786,-56.8421052631579,22.46622,0.50418276,57.28004,50.51226
70,187.37808839215768,255.78947368421052,-56.8421052631579,18.457176,3.759676,40.86162,39.908806
71,187.37808839215768,274.7368421052631,-56.8421052631579,22.354313,5.9094257,52.759228,49.2114
72,187.37808839215768,293.6842105263158,-56.8421052631579,25.176258,1.5623351,43.767403,35.57295
73,187.37808839215768,312.6315789473684,-56.8421052631579,25.159777,-6.2554355,41.131428,29.21621
74,187.37808839215768,331.57894736842104,-56.8421052631579,24.948393,-13.174123,49.801037,37.827488
75,187.37808839215768,350.52631578947364,-56.8421052631579,21.682808,-14.28449,44.592487,36.57928
76,187.37808839215765,9.473684210526315,-47.36842105263158,17.07596,-14.854039,36.87447,30.090233
77,187.37808839215765,28.421052631578945,-47.36842105263158,18.00979,-16.0461,42.93305,43.35888
78,187.37808839215765,47.368421052631575,-47.36842105263158,19.278288,-15.645244,41.7967,36.976414
79,187.37808839215765,66.3157894736842,-47.36842105263158,18.55424,-12.673328,39.65988,35.505203
80,187.37808839215765,85.26315789473684,-47.36842105263158,20.924963,-13.875099,49.417103,60.313313
81,187.37808839215765,104.21052631578947,-47.36842105263158,17.249804,-13.38904,44.629585,37.027596
82,187.37808839215765,123.1578947368421,-47.36842105263158,15.540602,-15.133015,41.507065,29.896051
83,187.37808839215765,142.10526315789474,-47.36842105263158,13.259958,-15.152751,36.12058,38.575874
84,187.37808839215765,161.05263157894734,-47.36842105263158,16.290138,-15.996863,48.63382,36.24995
85,187.37808839215765,180.0,-47.36842105263158,16.191141,-12.1002865,46.248703,33.059395
86,187.37808839215765,198.9473684210526,-47.36842105263158,15.584496,-9.7697735,41.059593,41.63818
87,187.37808839215765,217.89473684210526,-47.36842105263158,13.929577,-2.427481,35.09434,35.76337
88,187.37808839215765,236.84210526315786,-47.36842105263158,14.423915,3.8365748,35.23841,37.46295
89,187.37808839215765,255.78947368421052,-47.36842105263158,14.134746,6.8119273,34.185017,44.198586
90,187.37808839215765,274.7368421052631,-47.36842105263158,18.221413,9.16544,37.572964,42.890102
91,187.37808839215765,293.6842105263158,-47.36842105263158,25.670345,5.181743,42.68433,31.789965
92,187.37808839215765,312.6315789473684,-47.36842105263158,25.778439,-7.259695,45.690132,33.076107
93,187.37808839215765,331.57894736842104,-47.36842105263158,20.415012,-18.99739,50.84306,49.72663
94,187.37808839215765,350.52631578947364,-47.36842105263158,19.208328,-17.298998,48.39917,36.222874
95,187.37808839215768,9.473684210526315,-37.89473684210527,13.434186,-17.71612,40.434597,42.935196
96,187.37808839215768,28.421052631578945,-37.89473684210527,14.254237,-15.700422,37.39485,33.916798
97,187.37808839215768,47.368421052631575,-37.89473684210527,14.698419,-12.70924,36.0011,47.03986
